no,Symbol,Company_Name,mcap_lakhs,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,get_historical,analysis,get_incremental,last_refresh_date
1,RELIANCE,Reliance Industries Limited,126985361,738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,2021-06-15 00:00
2,TCS,Tata Consultancy Services Limited,117550304,2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,2021-06-15 00:00
3,HDFCBANK,HDFC Bank Limited,82341586,341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,2021-06-15 00:00
4,INFY,Infosys Limited,58277398,408065,1594,INFY,INFOSYS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,2021-06-15 00:00
5,HINDUNILVR,Hindustan Unilever Limited,57129664,356865,1394,HINDUNILVR,HINDUSTAN UNILEVER.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,2021-06-15 00:00
6,HDFC,Housing Development Finance Corporation Limited,44996047,340481,1330,HDFC,HDFC,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,2021-06-15 00:00
7,ICICIBANK,ICICI Bank Limited,40254860,1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,2021-06-15 00:00
8,KOTAKBANK,Kotak Mahindra Bank Limited,34737830,492033,1922,KOTAKBANK,KOTAK MAHINDRA BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
9,SBIN,State Bank of India,32512360,779521,3045,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
10,BAJFINANCE,Bajaj Finance Limited,31032344,81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
11,BHARTIARTL,Bharti Airtel Limited,28410257,2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/14/2021 0:00
12,ITC,ITC Limited,26892695,424961,1660,ITC,ITC,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
13,HCLTECH,HCL Technologies Limited,26665830,1850625,7229,HCLTECH,HCL TECHNOLOGIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
14,ASIANPAINT,Asian Paints Limited,24338685,60417,236,ASIANPAINT,ASIAN PAINTS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
15,WIPRO,Wipro Limited,22691736,969473,3787,WIPRO,WIPRO,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
16,AXISBANK,Axis Bank Limited,21365557,1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
17,MARUTI,Maruti Suzuki India Limited,20720275,2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
18,LT,Larsen & Toubro Limited,19927530,2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
19,ULTRACEMCO,UltraTech Cement Limited,19448517,2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
20,DMART,Avenue Supermarts Limited,18520202,5097729,19913,DMART,AVENUE SUPERMARTS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
21,ADANIGREEN,Adani Green Energy Limited,17280012,912129,3563,ADANIGREEN,ADANI GREEN ENERGY,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/8/2021 0:00
22,BAJAJFINSV,Bajaj Finserv Limited,15386363,4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
23,SUNPHARMA,Sun Pharmaceutical Industries Limited,14343224,857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
24,ADANIPORTS,Adani Ports and Special Economic Zone Limited,14271024,3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
25,HDFCLIFE,HDFC Life Insurance Company Limited,14069812,119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
26,TITAN,Titan Company Limited,13832152,897537,3506,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
27,ONGC,Oil & Natural Gas Corporation Limited,12850755,633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
28,HINDZINC,Hindustan Zinc Limited,11530896,364545,1424,HINDZINC,HINDUSTAN ZINC,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
29,ADANIENT,Adani Enterprises Limited,11340692,6401,25,ADANIENT,ADANI ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
30,JSWSTEEL,JSW Steel Limited,11323469,3001089,11723,JSWSTEEL,JSW STEEL,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
31,POWERGRID,Power Grid Corporation of India Limited,11281923,3834113,14977,POWERGRID,POWER GRID CORP..,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
32,SHREECEM,SHREE CEMENT LIMITED,10631337,794369,3103,SHREECEM,SHREE CEMENT,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
33,BAJAJ-AUTO,Bajaj Auto Limited,10621506,4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
34,ATGL,Adani Total Gas Limited,10571924,1552897,6066,ATGL,ADANI TOTAL GAS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/8/2021 0:00
35,NTPC,NTPC Limited,10331798,2977281,11630,NTPC,NTPC,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
36,TATAMOTORS,Tata Motors Limited,10020689,884737,3456,TATAMOTORS,TATA MOTORS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
37,ADANITRANS,Adani Transmission Limited,9990675,2615553,10217,ADANITRANS,ADANI TRANSMISSION,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/8/2021 0:00
38,M&M,Mahindra & Mahindra Limited,9886489,519937,2031,M&M,MAHINDRA & MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
39,DIVISLAB,Divi's Laboratories Limited,9617396,2800641,10940,DIVISLAB,DIVI'S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
40,TECHM,Tech Mahindra Limited,9599814,3465729,13538,TECHM,TECH MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
41,DABUR,Dabur India Limited,9552934,197633,772,DABUR,DABUR INDIA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
42,GRASIM,Grasim Industries Limited,9543908,315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
43,BPCL,Bharat Petroleum Corporation Limited,9283317,134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
44,PIDILITIND,Pidilite Industries Limited,9194527,681985,2664,PIDILITIND,PIDILITE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
45,TATASTEEL,Tata Steel Limited,9145405,895745,3499,TATASTEEL,TATA STEEL,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
46,SBILIFE,SBI Life Insurance Company Limited,8809114,5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
47,BRITANNIA,Britannia Industries Limited,8731596,140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
48,SBICARD,SBI Cards and Payment Services Limited,8730428,4600577,17971,SBICARD,SBI CARDS & PAY SER,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
49,IOC,Indian Oil Corporation Limited,8646905,415745,1624,IOC,INDIAN OIL CORP,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
50,VEDL,Vedanta Limited,8503087,784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
51,COALINDIA,Coal India Limited,8033116,5215745,20374,COALINDIA,COAL INDIA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
52,DRREDDY,Dr. Reddy's Laboratories Limited,7510125,225537,881,DRREDDY,DR. REDDY'S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
53,GODREJCP,Godrej Consumer Products Limited,7460571,2585345,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
54,BERGEPAINT,Berger Paints (I) Limited,7430407,103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
55,INDUSINDBK,IndusInd Bank Limited,7379380,1346049,5258,INDUSINDBK,INDUSIND BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
56,HINDALCO,Hindalco Industries Limited,7343287,348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
57,EICHERMOT,Eicher Motors Limited,7117531,232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
58,DLF,DLF Limited,7105392,3771393,14732,DLF,DLF,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
59,LTI,Larsen & Toubro Infotech Limited,7082721,4561409,17818,LTI,L&T INFOTECH,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
60,INDUSTOWER,Indus Towers Limited,6602596,7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
61,HAVELLS,Havells India Limited,6575641,2513665,9819,HAVELLS,HAVELLS INDIA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
62,CIPLA,Cipla Limited,6573459,177665,694,CIPLA,CIPLA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
63,SIEMENS,Siemens Limited,6566858,806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
64,ICICIGI,ICICI Lombard General Insurance Company Limited,6515142,5573121,21770,ICICIGI,ICICI LOMBARD GIC,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
65,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,6398660,4774913,18652,ICICIPRULI,ICICI PRU LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
66,MOTHERSUMI,Motherson Sumi Systems Limited,6361659,1076225,4204,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
67,INDIGO,InterGlobe Aviation Limited,6280780,2865921,11195,INDIGO,INTERGLOBE AVIATION,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
68,HDFCAMC,HDFC Asset Management Company Limited,6215944,1086465,4244,HDFCAMC,HDFC AMC,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
69,AMBUJACEM,Ambuja Cements Limited,6132665,325121,1270,AMBUJACEM,AMBUJA CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
70,GAIL,GAIL (India) Limited,6111242,1207553,4717,GAIL,GAIL (INDIA),0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
71,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,5887794,878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
72,HEROMOTOCO,Hero MotoCorp Limited,5820796,345089,1348,HEROMOTOCO,HERO MOTOCORP,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
73,NAUKRI,Info Edge (India) Limited,5512669,3520257,13751,NAUKRI,INFO EDGE (I),0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
74,BANDHANBNK,Bandhan Bank Limited,5458267,579329,2263,BANDHANBNK,BANDHAN BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
75,MARICO,Marico Limited,5311291,1041153,4067,MARICO,MARICO,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
76,AUROPHARMA,Aurobindo Pharma Limited,5163877,70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
77,BIOCON,Biocon Limited,4906800,2911489,11373,BIOCON,BIOCON,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
78,UPL,UPL Limited,4904026,2889473,11287,UPL,UPL,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
79,MUTHOOTFIN,Muthoot Finance Limited,4837940,6054401,23650,MUTHOOTFIN,MUTHOOT FINANCE,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
80,LUPIN,Lupin Limited,4629278,2672641,10440,LUPIN,LUPIN,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
81,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,4582319,175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
82,CADILAHC,Cadila Healthcare Limited,4513681,2029825,7929,CADILAHC,CADILA HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
83,TORNTPHARM,Torrent Pharmaceuticals Limited,4306803,900609,3518,TORNTPHARM,TORRENT PHARMACEUTICALS L,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
84,COLPAL,Colgate Palmolive (India) Limited,4241208,3876097,15141,COLPAL,COLGATE PALMOLIVE.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
85,HONAUT,Honeywell Automation India Limited,4197942,874753,3417,HONAUT,HONEYWELL AUTOMATION IND,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
86,APOLLOHOSP,Apollo Hospitals Enterprise Limited,4173565,40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
87,BOSCHLTD,Bosch Limited,4155182,558337,2181,BOSCHLTD,BOSCH,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
88,IDBI,IDBI Bank Limited,4145051,377857,1476,IDBI,IDBI BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
89,PGHH,Procter & Gamble Hygiene and Health Care Limited,4115680,648961,2535,PGHH,P&G HYGIENE & HEALTH CARE,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
90,GLAND,Gland Pharma Limited,4052037,303617,1186,GLAND,GLAND PHARMA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
91,MCDOWELL-N,United Spirits Limited,4042654,2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
92,NMDC,NMDC Limited,3966575,3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
93,PEL,Piramal Enterprises Limited,3954026,617473,2412,PEL,PIRAMAL ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
94,GODREJPROP,Godrej Properties Limited,3909964,4576001,17875,GODREJPROP,GODREJ PROPERTIES,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
95,YESBANK,Yes Bank Limited,3908565,3050241,11915,YESBANK,YES BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
96,JUBLFOOD,Jubilant Foodworks Limited,3841553,4632577,18096,JUBLFOOD,JUBILANT FOODWORKS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
97,PNB,Punjab National Bank,3840071,2730497,10666,PNB,PUNJAB NATIONAL BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
98,AUBANK,AU Small Finance Bank Limited,3831997,5436929,21238,AUBANK,AU SMALL FINANCE BANK,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
99,BANKBARODA,Bank of Baroda,3831979,1195009,4668,BANKBARODA,BANK OF BARODA,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
100,GUJGASLTD,Gujarat Gas Limited,3782360,2713345,10599,GUJGASLTD,GUJARAT GAS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
101,BAJAJHLDNG,Bajaj Holdings & Investment Limited,3664951,78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
102,CONCOR,Container Corporation of India Limited,3643580,1215745,4749,CONCOR,CONTAINER CORP OF IND,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
103,SRTRANSFIN,Shriram Transport Finance Company Limited,3599294,1102337,4306,SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.,0,,0,0.05,1,EQ,NSE,NSE,N,Y,Y,6/15/2021 0:00
