instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
4331777,16921,20MICRONS,20 MICRONS,0,,0,0.05,1,EQ,NSE,NSE
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0,,0,0.05,1,EQ,NSE,NSE
3014145,11774,3IINFOTECH,3I INFOTECH.,0,,0,0.05,1,EQ,NSE,NSE
121345,474,3MINDIA,3M INDIA,0,,0,0.05,1,EQ,NSE,NSE
664321,2595,3PLAND,3P LAND HOLDINGS,0,,0,0.05,1,EQ,NSE,NSE
113921,445,5PAISA,5PAISA CAPITAL,0,,0,0.05,1,EQ,NSE,NSE
60161,235,AAKASH,AAKASH EXPLORATION SER L,0,,0,0.05,1,EQ,NSE,NSE
1147137,4481,AARTIDRUGS,AARTI DRUGS.,0,,0,0.05,1,EQ,NSE,NSE
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
4923649,19233,AARTISURF,AARTI SURFACTANTS,0,,0,0.05,1,EQ,NSE,NSE
4882689,19073,AARVI,AARVI ENCON,0,,0,0.05,1,EQ,NSE,NSE
1378561,5385,AAVAS,AAVAS FINANCIERS,0,,0,0.05,1,EQ,NSE,NSE
2561,10,ABAN,ABAN OFFSHORE.,0,,0,0.05,1,EQ,NSE,NSE
3329,13,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE
4583169,17903,ABBOTINDIA,ABBOTT INDIA,0,,0,0.05,1,EQ,NSE,NSE
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE
7707649,30108,ABFRL,ADITYA BIRLA FASHION & RT,0,,0,0.05,1,EQ,NSE,NSE
4415745,17249,ABMINTLTD,ABM INTERNATIONAL,0,,0,0.05,1,EQ,NSE,NSE
3580673,13987,ABSLBANETF,BIRLASLAMC - ABSLBANETF,0,,0,0.01,1,EQ,NSE,NSE
1878785,7339,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,0,,0,0.01,1,EQ,NSE,NSE
5633,22,ACC,ACC,0,,0,0.05,1,EQ,NSE,NSE
1805569,7053,ACCELYA,ACCELYA SOLN INDIA,0,,0,0.05,1,EQ,NSE,NSE
375041,1465,ACCURACY,ACCURACY SHIPPING,0,,0,0.05,1,EQ,NSE,NSE
3478273,13587,ACE,ACTION CONST EQUIP,0,,0,0.05,1,EQ,NSE,NSE
481025,1879,ACRYSIL,ACRYSIL,0,,0,0.05,1,EQ,NSE,NSE
6401,25,ADANIENT,ADANI ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE
912129,3563,ADANIGREEN,ADANI GREEN ENERGY,0,,0,0.05,1,EQ,NSE,NSE
3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE
4451329,17388,ADANIPOWER,ADANI POWER,0,,0,0.05,1,EQ,NSE,NSE
2615553,10217,ADANITRANS,ADANI TRANSMISSION,0,,0,0.05,1,EQ,NSE,NSE
5058817,19761,ADFFOODS,ADF FOODS,0,,0,0.05,1,EQ,NSE,NSE
8705,34,ADORWELD,ADOR WELDING,0,,0,0.05,1,EQ,NSE,NSE
1267969,4953,ADROITINFO,ADROIT INFOTECH,0,,0,0.05,1,EQ,NSE,NSE
3792129,14813,ADSL,ALLIED DIGITAL SERV.,0,,0,0.05,1,EQ,NSE,NSE
3774721,14745,ADVANIHOTR,ADVANI HOT.& RES.(I),0,,0,0.05,1,EQ,NSE,NSE
4617985,18039,ADVENZYMES,ADVANCED ENZYME TECH,0,,0,0.05,1,EQ,NSE,NSE
10241,40,AEGISCHEM,AEGIS LOGISTICS,0,,0,0.05,1,EQ,NSE,NSE
2903809,11343,AFFLE,AFFLE (INDIA),0,,0,0.05,1,EQ,NSE,NSE
867585,3389,AGARIND,AGARWAL INDS CORP.,0,,0,0.05,1,EQ,NSE,NSE
879361,3435,AGCNET,AGC NETWORKS,0,,0,0.05,1,EQ,NSE,NSE
2834433,11072,AGRITECH,AGRI-TECH (INDIA),0,,0,0.05,1,EQ,NSE,NSE
2315777,9046,AGROPHOS,AGRO PHOS INDIA,0,,0,0.05,1,EQ,NSE,NSE
513025,2004,AHLADA,AHLADA ENGINEERS,0,,0,0.05,1,EQ,NSE,NSE
4976129,19438,AHLEAST,ASIAN HOTELS (EAST),0,,0,0.05,1,EQ,NSE,NSE
4565249,17833,AHLUCONT,AHLUWALIA CONT IND,0,,0,0.05,1,EQ,NSE,NSE
4957697,19366,AHLWEST,ASIAN HOTELS (WEST),0,,0,0.05,1,EQ,NSE,NSE
3350017,13086,AIAENG,AIA ENGINEERING,0,,0,0.05,1,EQ,NSE,NSE
2533633,9897,AIRAN,AIRAN,0,,0,0.05,1,EQ,NSE,NSE
