,ICHMOKU_alert_1,ICHMOKU_alert_2,ICHMOKU_signal_1,ICHMOKU_signal_1_1,ICHMOKU_signal_2,ICHMOKU_signal_2_1,MACD,MACD_alert,MACD_signal,MACD_signal_1,MACDhist,MACDsignal,SAR,SAR_alert,SAR_signal,SAR_signal_1,base_line_fast,base_line_slow,close,conversion_line_fast,conversion_line_slow,exchange,high,lagging_span,lead_span_A,lead_span_B,low,open,scrip,scrip_name,volume
2021-06-17,,,,,,,5.54987333786039,,SELL,SELL,-4.501162119701766,10.051035457562156,1521.996627912,,SELL,SELL,1478.0,1481.0,1462.25,1478.0,1481.0,NSE,1478.75,,1440.475,1245.6750000000002,1460.0,1466.0,HDFCBANK,HDFC Bank Limited,4637442
2021-06-17,,,,,,,60.18835992121831,TRUE,SELL,BUY,-0.15741184132564,60.34577176254395,2274.9,TRUE,SELL,BUY,2227.4,2216.425,2214.15,2227.4,2216.425,NSE,2235.0,,1975.55,2081.175,2179.9,2200.0,RELIANCE,Reliance Industries Limited,7262610
2021-06-17,,,,,,,45.58994802198686,,BUY,BUY,13.495976212053115,32.09397180993374,3199.412227494391,,BUY,BUY,3293.8,3261.125,3328.5,3293.8,3261.125,NSE,3336.05,,3080.675,2530.5,3260.0,3265.5,TCS,Tata Consultancy Services Limited,2273094
2021-06-16,,,,,,,40.3029551819468,,BUY,BUY,11.582977425026339,28.71997775692046,3187.235808327101,,BUY,BUY,3260.0,3221.5,3274.35,3260.0,3221.5,NSE,3294.7,,3080.675,2530.5,3253.0,3262.1,TCS,Tata Consultancy Services Limited,1635147
2021-06-16,,,,,,,8.173082666671917,,SELL,SELL,-3.003243320815681,11.176325987487598,1523.2098244,,SELL,SELL,1479.55,1488.275,1484.6,1479.55,1488.275,NSE,1494.0,,1440.475,1245.6750000000002,1478.1,1488.0,HDFCBANK,HDFC Bank Limited,3849318
2021-06-16,,,,,,,63.43428548302836,,BUY,BUY,3.0491607601530006,60.38512472287536,2166.8792964164804,,BUY,BUY,2227.5,2216.425,2211.6,2227.5,2216.425,NSE,2247.05,,1969.925,2068.475,2205.85,2244.9,RELIANCE,Reliance Industries Limited,4978537
2021-06-15,,,,,,,9.126734098476163,,SELL,SELL,-2.800402719215354,11.927136817691517,1524.44778,,SELL,SELL,1479.55,1491.6,1490.25,1479.55,1491.6,NSE,1496.0,,1437.35,1245.6750000000002,1474.8,1486.0,HDFCBANK,HDFC Bank Limited,3784224
2021-06-15,,,,,,,9.635914884546992,,SELL,SELL,-2.9913226129483643,12.627237497495356,1525.711,,SELL,SELL,1482.275,1493.75,1491.3,1482.275,1493.75,NSE,1496.0,,1437.35,1245.6750000000002,1474.8,1486.0,HDFCBANK,HDFC Bank Limited,3784024
2021-06-15,,,,,,,66.47277201780389,,BUY,BUY,8.672784522753844,57.79998749505005,2128.847128740509,,BUY,BUY,2216.425,2216.425,2244.0,2216.425,2216.425,NSE,2274.9,,1960.6,2055.175,2240.3,2261.0,RELIANCE,Reliance Industries Limited,6981511
2021-06-15,,,,,,,66.91422268398537,,BUY,BUY,7.291388151148261,59.62283453283711,2149.294530716838,,BUY,BUY,2226.2250000000004,2216.425,2250.0,2226.2250000000004,2216.425,NSE,2274.9,,1960.6,2059.175,2240.3,2261.0,RELIANCE,Reliance Industries Limited,6981511
2021-06-15,,,,,,,36.77928636851311,,BUY,BUY,14.119509497186659,22.659776871326454,3158.6738374408656,,BUY,BUY,3247.6,3215.825,3261.0,3247.6,3215.825,NSE,3298.0,,3114.675,2498.45,3251.55,3298.0,TCS,Tata Consultancy Services Limited,1301575
2021-06-15,,,,,,,38.48205951801356,,BUY,BUY,12.657826117349682,25.824233400663875,3173.706453696779,,BUY,BUY,3251.0,3217.0,3262.75,3251.0,3217.0,NSE,3298.0,,3080.675,2505.975,3251.55,3298.0,TCS,Tata Consultancy Services Limited,1301585
2021-06-14,,,,,,,10.038746871356807,,SELL,SELL,-3.3363212793756407,13.375068150732448,1527.0,TRUE,SELL,BUY,1482.275,1493.75,1480.0,1482.275,1493.75,NSE,1486.0,,1437.35,1245.6750000000002,1462.55,1478.25,HDFCBANK,HDFC Bank Limited,4440098
2021-06-14,,,,,,,65.5533528472547,,BUY,BUY,9.921561482893118,55.63179136436158,2111.2012826596697,,BUY,BUY,2208.1,2207.625,2244.9,2208.1,2207.625,NSE,2258.25,,1960.6,2054.55,2195.05,2215.0,RELIANCE,Reliance Industries Limited,9380089
2021-06-14,,,,,,,34.249139019608265,,BUY,BUY,15.119239522578475,19.12989949702979,3141.9709304898506,,BUY,BUY,3247.6,3212.0,3276.35,3247.6,3212.0,NSE,3308.7,,3122.675,2498.45,3270.35,3279.0,TCS,Tata Consultancy Services Limited,1847138
2021-06-11,,,,,,,63.33469997361226,,BUY,BUY,10.183298979973955,53.151400993638305,2095.7792029551883,,BUY,BUY,2199.975,2198.25,2213.15,2199.975,2198.25,NSE,2228.0,,1960.6,2054.55,2180.1,2182.9,RELIANCE,Reliance Industries Limited,6349799
2021-06-11,,,,,,,28.958672563084747,,BUY,BUY,13.608582946699576,15.350089616385171,3123.412144988723,,BUY,BUY,3221.5,3212.0,3273.8,3221.5,3212.0,NSE,3309.0,,3167.525,2498.45,3211.0,3211.55,TCS,Tata Consultancy Services Limited,3452723
2021-06-11,,,,,,,11.557434289119328,,SELL,SELL,-2.651714181457029,14.209148470576357,1472.05,,BUY,BUY,1493.025,1499.525,1486.35,1493.025,1499.525,NSE,1496.55,,1437.35,1245.6750000000002,1481.05,1491.0,HDFCBANK,HDFC Bank Limited,3601929
2021-06-10,,,,,,,62.814387397092105,,BUY,BUY,12.208811148447289,50.605576248644816,2078.643558839098,,BUY,BUY,2199.975,2167.525,2183.0,2199.975,2167.525,NSE,2230.0,,1942.35,2054.55,2177.55,2193.4,RELIANCE,Reliance Industries Limited,6529037
