"
Sr. No.",symbol,exchange_SYMBOL,Company Name,market_cap,delay time,previous day close,LTP price,open,high,low,change,%change,volume,share,calculated mcap in cr,mcap_cr,PE,PE calc,EPS,%liquid vol,Support (trendline),Resistance (Trendline/Trendchannel),Mid Price (Trendchannel),Fibonacci Support,Fibonacci Resistance
1,RELIANCE,NSE:RELIANCE,Reliance Industries Limited,125856321,0,2214.6,2178,2219,2221,2157.95,-36.6,-1.65,5265326,6338512384,"1,380,528.00","1,419,363.20",28.96,28.95891504,75.21,0.083069,1840,2111,2020,1890,2362
2,TCS,NSE:TCS,Tata Consultancy Services Limited,107421393,0,3200.15,3199.7,3202,3220,3186.2,-0.45,-0.01,1710925,3752384512,"1,200,650.47","1,183,382.11",36.9,36.9011648,86.71,0.045596,2900,3347,3100,2788,3343
3,HDFCBANK,NSE:HDFCBANK,HDFC Bank Limited,79041414,0,1483.05,1482,1483.9,1502,1472.05,-1.05,-0.07,5111721,2718492928,"402,880.65","11,313.41",25.73,25.72916667,57.6,0.188035,1383,1750,1560,1356,1625
4,HINDUNILVR,NSE:HINDUNILVR,Hindustan Unilever Limited,56281271,0,2359,2355.25,2362,2371.95,2345.6,-3.75,-0.16,1072858,2217767936,"522,339.79","554,432.70",69.21,69.2109903,34.03,0.048376,2218,2650,2420,2174,2603
5,INFY,NSE:INFY,Infosys Limited,53489485,0,1412.95,1415,1413.4,1425,1404.6,2.05,0.15,5394317,4347717632,"615,202.04","8,324.18",31.08,31.08523726,45.52,0.124072,1250,1600,1480,1230,1476
6,HDFC,NSE:HDFC,Housing Development Finance Corporation Limited,45833233,0,2554.5,2546.05,2558,2579.25,2539.75,-8.45,-0.33,2784864,1719284608,"437,738.46","459,463.17",24.32,24.31757402,104.7,0.161978,2315,2569,2436,2370,2888
7,KOTAKBANK,NSE:KOTAKBANK,Kotak Mahindra Bank Limited,39497071,0,1793.55,1781.15,1789.9,1812,1775,-12.4,-0.69,2037714,1907338240,"339,725.55","353,297.20",35.28,35.27728263,50.49,0.106835,1695,2041,1871,1695,2041
8,ICICIBANK,NSE:ICICIBANK,ICICI Bank Limited,36897024,0,642.4,636,644.4,645.6,628.8,-6.4,-1,15823094,6439910912,"409,578.33","5,985.38",23.7,23.70480805,26.83,0.245704,589,735,668,552,684
9,BAJFINANCE,NSE:BAJFINANCE,Bajaj Finance Limited,31908205,0,5755.4,5672,5795,5795,5627.3,-83.4,-1.45,1538112,576445632,"326,959.96","341,843.42",77.7,77.69863014,73,0.266827,4900,6500,5600,4900,5875
10,BHARTIARTL,NSE:BHARTIARTL,Bharti Airtel Limited,27806976,0,546.8,539.9,549.9,551.5,535.35,-6.9,-1.26,12440819,3995603712,"215,722.64","296,827.75",#N/A,-11.26669449,-47.92,0.311363,542,690,611,525,621
11,ASIANPAINT,NSE:ASIANPAINT,Asian Paints Limited,26517023,0,2926.25,2941.3,2930.8,2965,2919.6,15.05,0.51,1340352,959200000,"282,129.50","281,921.88",89.87,89.86556676,32.73,0.139736,2550,2800,2676,2400,2876
12,ITC,NSE:ITC,ITC Limited,25716886,0,213.65,212.55,214,214.75,211.5,-1.1,-0.51,24887924,12245059584,"260,268.74","261,439.75",19.86,19.86448598,10.7,0.203249,200,220,210,205,243
13,HCLTECH,NSE:HCLTECH,HCL Technologies Limited,25675342,0,967.2,972,973.9,985,965.1,4.8,0.5,5521459,1356261248,"131,828.59","263,768.44",21.54,21.53777975,45.13,0.407109,890,1050,985,890,1068
14,SBIN,NSE:SBIN,State Bank of India,24538219,0,427.2,421.95,427.5,432.3,418.2,-5.25,-1.23,27784834,8924600320,"376,573.51","376,171.78",16.81,16.80406213,25.11,0.311329,345,406,426,320,430
16,WIPRO,NSE:WIPRO,Wipro Limited,22072220,0,550.6,545.3,553,553.25,542.2,-5.3,-0.96,6206899,4502915584,"245,543.99","4,125.12",28.6,28.59465128,19.07,0.137842,440,540,484,416,530
17,AXISBANK,NSE:AXISBANK,Axis Bank Limited,18986301,0,746.35,737,746,751.25,730.15,-9.35,-1.25,8004726,2569895168,"189,401.27","225,830.06",30.54,30.54289266,24.13,0.311481,645,843,741,675,830
